COL,DEPT,CRN,CRS_NO,TITLE,SECT,TYPE_,CAMP,ENROL,INSTR_ID,INSTRUCTOR,EXAM_DATE,START_TIME,END_TIME,COURSE_TYPE,COURSE_CLASS
2,ARAB,21668,201212,Syntax & Morphology Studies 2,1,LEC,MAM,22,101957,Saif Al-Dien Taha Salim Alfuqara,06/05/2024,16:00PM,18:00PM,General,Year2
5,MDI,21673,502264,Patient Care & Management(2),71L,LAB,MDM,17,101189,Leena Rajan David,07/05/2024,16:00PM,18:00PM,General,Year2
2,SOCI,23916,204101,Intro. to Sociology,31,LEC,KOM,12,102152,Ruqayya Mohammed Ahmed Bin Saleem Alteneiji,04/05/2024,16:00PM,18:00PM,General,Year1
3,FNEC,23790,308433,Portfolio Management,11,LEC,UOS,15,101256,Ray Saadaoui Mallek,11/05/2024,16:00PM,18:00PM,General,Year4
6,PRLW,24125,601417,Real Rights,101,LEC,DHM,7,101917,Nada Mohamed Mahmoud Hassan Almaazmi,14/05/2024,16:00PM,18:00PM,General,Year4
5,PHTH,22086,505260,PT for Resp. & Card. Vasc Cond,74L,LAB,MDM,24,102071,Walid Kamal Mohamed Abdelbaset,05/05/2024,16:00PM,18:00PM,General,Year2
11,PHPR,22056,1102240,Foundation of Pharmacology,71,LEC,MDM,75,101074,Hany Ahmed Omar,14/05/2024,16:00PM,18:00PM,General,Year2
11,PHPR,22104,1102240,Foundation of Pharmacology,72L,LAB,MDM,26,10851,Manal Mohammad Shihata AL Sharawy,14/05/2024,16:00PM,18:00PM,General,Year2
11,PHPR,22074,1102240,Foundation of Pharmacology,72,LEC,MDM,53,101074,Hany Ahmed Omar,14/05/2024,16:00PM,18:00PM,General,Year2
5,PHTH,22081,505260,PT for Resp. & Card. Vasc Cond,71,LEC,MDM,64,102071,Walid Kamal Mohamed Abdelbaset,05/05/2024,16:00PM,18:00PM,General,Year2
2,HISL,22444,203350,Introduction to Tourism,11,LEC,UOS,82,102043,Nidal Mohammed Meflieh Al-Zboun,06/05/2024,16:00PM,18:00PM,General,Year3
4,MECH,22469,408281,Chemical Thermodynamics Lab,11,LAB,UOS,17,202857,Mohammed Mohammed Ali,13/05/2024,16:00PM,18:00PM,General,Year2
4,MECH,22310,408271,Water Chemistry and Analysis,11,LEB,UOS,14,102070,Ihsanullah  Obaidullah,07/05/2024,16:00PM,18:00PM,General,Year2
8,MASS,22295,806363,Info Graphics (1),11,LEB,UOS,19,102011,Ahmad Abdel Jabbar Mazhar,05/05/2024,16:00PM,18:00PM,General,Year3
4,MECH,22330,408467,"Heating,Ventilation & Air-Con.",11,LEC,UOS,35,101341,Mohammed Kamil Mohammed Mohammed,04/05/2024,16:00PM,18:00PM,General,Year4
11,MDCH,22352,1101240,Biochemistry,75L,LAB,MDM,26,101273,Sachin  Chaudhary,13/05/2024,16:00PM,18:00PM,General,Year2
15,COSC,24623,1501116,Programming I,13,LEB,UOS,0,P-3126,Eliseo  Ferrante,07/05/2024,16:00PM,18:00PM,General,Year1
2,SOCI,24444,204102,UAE Society,12E,LEC,UOS,97,P-3129,Ali Younus Omar,29/04/2024,16:00PM,18:00PM,Uni_Requirement,Year1
15,CENG,24398,1502300,Pro. & Social Issues in Eng.,52,LEC,MAW,46,102093,Bilal Ahmed Arain,05/05/2024,16:00PM,18:00PM,General,Year3
15,COSC,22835,1501100,Introduction to IT(English),78,LEB,MDM,42,101918,Ayesha Muhammad Talha,01/05/2024,16:00PM,18:00PM,General,Year1
7,ADES,23647,703314,Advanced Publishing,11,LES,FAM,16,102119,Hala  Georges,06/05/2024,16:00PM,18:00PM,General,Year3
8,COMM,22782,800300,Communication Theories,11,LEC,UOS,88,10306,Fawzia Abdulla AlAli,05/05/2024,16:00PM,18:00PM,General,Year3
6,PBLW,23961,602245,Legal Studies In English,31,LEC,KOM,9,P-3098,Ali Karam Mohamed Eisa Alblooshi,12/05/2024,16:00PM,18:00PM,General,Year2
11,MDCH,22646,1102231,Biochemistry,71,LEC,MDM,4,101961,Yasser Khalil Mohammed Bustanji,13/05/2024,16:00PM,18:00PM,General,Year2
5,MDI,21778,502359,Radiographic & Cross Sectional,71L,LAB,MDM,34,101774,Muna N Kadhom,09/05/2024,16:00PM,18:00PM,General,Year3
3,BUSP,21779,302200,Fund. of Innovation & Entrep.,14A,LEC,UOS,60,102086,Asmaa Mohamed Ahmed Jafar Nusairi,27/04/2024,16:00PM,18:00PM,Uni_Requirement,Year2
15,COSC,21830,1501113,Programming for Engineers,2,LEB,MAM,20,102076,Maged Abdelkhalek Elsayed Mohamed Elsheshtawy,07/05/2024,16:00PM,18:00PM,General,Year1
15,COSC,21831,1501113,Programming for Engineers,51,LEB,MAW,14,102026,Isam Mashhour Hasan Al Jawarneh,07/05/2024,16:00PM,18:00PM,General,Year1
15,COSC,21879,1501252,Comp.Org.and Assembly Language,11,LEB,UOS,52,101842,Ibrahim Abaker Targio Hashem,09/05/2024,16:00PM,18:00PM,General,Year2
14,CHMS,23414,1420442,Quantum Chemistry,11,LEC,UOS,20,102055,Tanveer  Ul Haq,06/05/2024,16:00PM,18:00PM,General,Year4
15,COSC,21833,1501116,Programming I,01U,LEB,MAM,34,102003,Sarah Abdelkarim Abouelfetouh Darwish,07/05/2024,16:00PM,18:00PM,General,Year1
3,BUSP,21754,302200,Fund. of Innovation & Entrep.,02A,LEC,UOS,60,101818,Ahmad Qasim Mohammad Al Hamad,27/04/2024,16:00PM,18:00PM,Uni_Requirement,Year2
15,COSC,21834,1501116,Programming I,2,LEB,MAM,33,102076,Maged Abdelkhalek Elsayed Mohamed Elsheshtawy,07/05/2024,16:00PM,18:00PM,General,Year1
5,MLT,21803,501265,Diagnostic Microbiology,72,LEC,MDM,38,101640,Mohamad  Hamad,12/05/2024,16:00PM,18:00PM,General,Year2
3,BUSP,21756,302200,Fund. of Innovation & Entrep.,03A,LEC,UOS,60,101818,Ahmad Qasim Mohammad Al Hamad,27/04/2024,16:00PM,18:00PM,Uni_Requirement,Year2
15,COSC,21868,1501100,Introduction to IT(English),76,LEB,MDM,38,102003,Sarah Abdelkarim Abouelfetouh Darwish,01/05/2024,16:00PM,18:00PM,General,Year1
5,MLT,21806,501265,Diagnostic Microbiology,72L,LAB,MDM,18,10442,Ali Mohammed AL Bakri,12/05/2024,16:00PM,18:00PM,General,Year2
15,COSC,21838,1501116,Programming I,51,LEB,MAW,33,P-3114,Menen Kassim Mohammed,07/05/2024,16:00PM,18:00PM,General,Year1
15,COSC,21743,1501100,Introduction to IT(English),56B,LEB,MAW,36,102003,Sarah Abdelkarim Abouelfetouh Darwish,01/05/2024,16:00PM,18:00PM,General,Year1
7,ADES,23608,703315,Visual Commun. Studio IV,11,LES,FAM,16,102119,Hala  Georges,13/05/2024,16:00PM,18:00PM,General,Year3
4,EECE,23766,402462,Special Topics in Comm. Sys.,11,LEC,UOS,57,101487,Khawla Abdelwahab Nasir Abdulla Alnajjar,07/05/2024,16:00PM,18:00PM,General,Year4
7,ADES,23540,705116,Drawing for Interior Design,13,LES,FAM,21,102128,Georgina Gabi Raffoul Abood,13/05/2024,16:00PM,18:00PM,General,Year1
15,COSC,24573,1501394,Junior Project in CS,12,PRJ,UOS,9,102146,Osman  Abul,14/05/2024,16:00PM,18:00PM,General,Year3
15,COSC,24575,1501394,Junior Project in CS,14,PRJ,UOS,9,101616,Imad  Afyouni,14/05/2024,16:00PM,18:00PM,General,Year3
2,ARAB,23272,201233,Research Methodology,11,LEC,UOS,17,10711,Mariam Saeed Bel Ajeed,11/05/2024,16:00PM,18:00PM,General,Year2
15,COSC,24596,1501393,Multimedia Junior Project,19,PRJ,UOS,1,102061,Fatih  Kurugollu,12/05/2024,16:00PM,18:00PM,General,Year3
4,CIVL,24254,401104,Engineering Drawing Lab,11,LAB,UOS,9,10218,Faiza Sh. Naser,06/05/2024,16:00PM,18:00PM,General,Year1
15,COSC,24588,1501393,Multimedia Junior Project,15,PRJ,UOS,4,10962,Mohammed  Lataifeh,12/05/2024,16:00PM,18:00PM,General,Year3
2,SOCI,20835,204111,Arab Society,1,LEC,MAM,45,101285,Salama Mohammad Al Rahoomi,12/05/2024,16:00PM,18:00PM,General,Year1
14,APHY,20741,1430106,Remedial Physics,02R,LEC,UOS,66,10214,Mohammed A. Mansour,06/05/2024,16:00PM,18:00PM,General,Year1
3,FNEC,20963,308230,Financial Management,11,LEC,UOS,54,101256,Ray Saadaoui Mallek,09/05/2024,16:00PM,18:00PM,General,Year2
2,ENGL,20874,202227,Critical Reading and Writing,1,LEC,MAM,60,102166,Gerald David Naughton,12/05/2024,16:00PM,18:00PM,General,Year2
6,PBLW,20954,602460,Internal Practical Training,51,TRA,MAW,31,10413,Ali Abdel Hamid Torki,04/05/2024,16:00PM,18:00PM,General,Year4
14,APHY,20830,1460313,Exploration geophysics 2,11,LEC,UOS,10,101671,Hamdan Ali Hamdan,14/05/2024,16:00PM,18:00PM,General,Year3
6,PBLW,20942,602245,Legal Studies In English,51,LEC,MAW,31,10788,Zaid Ali Zaid,12/05/2024,16:00PM,18:00PM,General,Year2
14,APHY,20831,1460223,General geophysics,11,LEC,UOS,18,101671,Hamdan Ali Hamdan,14/05/2024,16:00PM,18:00PM,General,Year2
2,ENGL,20880,202112,English for Academic Purposes,24K,LEC,UOS,41,101153,Samer Omar Jarbou,02/05/2024,16:00PM,18:00PM,Uni_Requirement,Year1
14,APHY,20881,1460402,Graduation project,11,PRJ,UOS,7,102170,Nouf Sultan Saif Mohamed Alteneiji,08/05/2024,16:00PM,18:00PM,General,Year4
14,APHY,20865,1460401,Seminar,11,SEM,UOS,4,101990,Asma Ali Ahmed Almughanni Alnaqbi,11/05/2024,16:00PM,18:00PM,General,Year4
15,CENG,20624,1502334,Embedded Systems Design,11,LEB,UOS,26,101058,Mohamed Talal  Bonny,08/05/2024,08:30AM,10:30AM,General,Year3
15,BUIS,20609,1503441,Enterprise Systems,11,LEC,UOS,32,101475,Amel Ibrahim Mohamed Ibrahim Al-Ali,12/05/2024,08:30AM,10:30AM,General,Year4
11,MDCH,23488,1101522,Pharmaceutical Analysis,71,LEC,MDM,35,101389,Hasan Yaser Hasan  Alniss,05/05/2024,08:30AM,10:30AM,General,Year5
1,JURF,20461,103223,Juri. of Marriage and Divorce,2,LEC,MAM,34,10471,Mohamed Suliman Suliman,29/04/2024,08:30AM,10:30AM,General,Year2
2,EDUC,20025,206111,Child Development Psyc.,51M,LEC,MAW,29,101155,Bushra Ahmed Akayyesh,08/05/2024,08:30AM,10:30AM,General,Year1
1,JURF,23390,103225,Islamic Economic & Fin. System,1,LEC,MAM,21,101762,Madou Gaye Sylla,08/05/2024,08:30AM,10:30AM,General,Year2
2,ENGL,20105,202130,French Language,51,LEC,UOS,25,101807,Chiraz  Anane,29/04/2024,08:30AM,10:30AM,Uni_Requirement,Year1
3,BUSP,20701,302250,Legal Environment of Business,1,LEC,MAM,63,101948,Mohammad Owais Farooqui,12/05/2024,08:30AM,10:30AM,General,Year2
2,INRE,20366,205390,Foreign Policy,11,LEC,UOS,58,101865,Muhamed  Ali,11/05/2024,08:30AM,10:30AM,General,Year3
2,INRE,20367,205335,International Human Rights,11,LEC,UOS,18,101869,Kazi Fahmida Farzana,14/05/2024,08:30AM,10:30AM,General,Year3
14,MATH,20214,1440098,Remedial Math,11H,LEC,UOS,89,10883,Kholoud Mustafa Abu Rezq,02/05/2024,08:30AM,10:30AM,General,
14,MATH,20220,1440098,Remedial Math,51G,LEC,UOS,87,10883,Kholoud Mustafa Abu Rezq,02/05/2024,08:30AM,10:30AM,General,
2,INRE,20406,205240,Comparative Governments of GCC,11,LEC,UOS,73,102148,Mona  Salman,07/05/2024,08:30AM,10:30AM,General,Year2
14,BIOT,20407,1450311,Intro. to Forensic Sciences,11,LEC,UOS,64,10836,Ismail Moh d Khair Saadoun,13/05/2024,08:30AM,10:30AM,General,Year3
4,CIVL,20417,401305,Computational Methods in CE,11,LEC,UOS,23,101643,Ghazi Gaseem Khaleel  Al-Khateeb,14/05/2024,08:30AM,10:30AM,General,Year3
8,MASS,23452,806246,Mobile Journalism,11,LEB,UOS,12,102088,Omar  Daoudi,05/05/2024,08:30AM,10:30AM,General,Year2
4,SREE,23372,406100,Intro. to Energy Science&Tech.,12,LEC,UOS,44,101025,Shek Atiqure Rahman,12/05/2024,08:30AM,10:30AM,General,Year1
8,PUBL,24089,807228,Social Media,501,LEB,DHW,14,P-3055,Mohamed Hassan Abdelzaher Hassan,07/05/2024,08:30AM,10:30AM,General,Year2
2,ARAB,24423,201203,Art of Writing in Arabic,81,LEC,KOW,47,101738,Anas Abbas Idan,29/04/2024,08:30AM,10:30AM,General,Year2
5,CLNU,21234,507460,Food Service Management,71,LEC,MDM,66,101515,Tareq (Mohammad Ibrahim) A.H. Osaili,04/05/2024,08:30AM,10:30AM,General,Year4
6,PRLW,21246,601434,Maritime Law,1,LEC,MAM,34,101088,Mudafar Jaber AL Rawi,09/05/2024,08:30AM,10:30AM,General,Year4
5,HSAD,21279,504362,Epidemiology & Population Hlth,71,LEC,MDM,55,101904,Heba Hesham Ali Hijazi,05/05/2024,08:30AM,10:30AM,General,Year3
4,EECE,24602,402343,Random Signal & Systems,12,OFH,UOS,1,,  ,08/05/2024,08:30AM,10:30AM,General,Year3
4,ARCH,23369,404417,Structural Steel Design,11,LEC,UOS,16,101579,Zaid A Abduljabar  Al-Sa'doon,07/05/2024,08:30AM,10:30AM,General,Year4
3,FNEC,21032,308331,Corporate Finance,51,LEC,MAW,15,101257,Mohammad Qasem Al-Shboul,09/05/2024,08:30AM,10:30AM,General,Year3
5,HSAD,21193,504260,Leadership & Mang. in H. Prof,71,LEC,MDM,33,101989,Alounoud Mohamed Hassan Ramadan Salman,07/05/2024,08:30AM,10:30AM,General,Year2
3,FNEC,21037,308332,Investment Analysis,1,LEC,MAM,23,101256,Ray Saadaoui Mallek,13/05/2024,08:30AM,10:30AM,General,Year3
14,APHY,21136,1430107,Physics for Health Sci,76L,LAB,MDM,21,101505,Abdulraheem mohamed Khudada Mohamed,12/05/2024,08:30AM,10:30AM,General,Year1
2,IEP,21145,12102,Intensive English Preparatory3,52,LEC,MAW,19,10740,Mohammad Amir Samimi,04/05/2024,08:30AM,10:30AM,General,Year2
2,ARAB,21637,201102,Arabic Language,15V,LEC,UOS,82,101738,Anas Abbas Idan,28/04/2024,08:30AM,10:30AM,Uni_Requirement,Year1
5,MLT,21700,501260,Biochemistry,74,LEC,MDM,35,102062,Ghulam MD  Ashraf,09/05/2024,08:30AM,10:30AM,General,Year2
4,SREE,21621,406453,Energy Mgt. for Sustainability,11,LEC,UOS,32,101448,Bashria Abdrubalrasoul Abdalla  Yousef,04/05/2024,08:30AM,10:30AM,General,Year4
5,PHTH,23617,505360,Physiotherapy for Neurological,74L,LAB,MDM,16,102004,Sivapriya  Ramakrishnan,14/05/2024,08:30AM,10:30AM,General,Year3
3,FNEC,23802,308438,Seminar in Finance & Banking,1,LEC,MAM,12,102009,Abdus Sabur  Mollah,02/05/2024,08:30AM,10:30AM,General,Year4
5,MLT,22018,501461,Practicum in Histopathology,72,CLI,MDM,12,10687,Wael Mohamed Hassan,04/05/2024,08:30AM,10:30AM,General,Year4
4,ARCH,22013,404492,Senior Design Project II,11,PRJ,UOS,68,101010,Md. Mamun Ur. Rahid Md. Anisur Rahman,04/05/2024,08:30AM,10:30AM,General,Year4
5,HSGN,22141,500161,Intr. to Health Sciences,71,LEC,MDM,69,101189,Leena Rajan David,13/05/2024,08:30AM,10:30AM,General,Year1
11,PHCS,22223,1103412,Pharmaceutics II B,71L,TUT,MDM,48,P-3120,Muna Bassam Suleiman Najm,06/05/2024,08:30AM,10:30AM,General,Year4
5,HSGN,22259,500160,Human Anatomy and Physiology,73L,LAB,MDM,29,101988,Gayathri  Arumughan,05/05/2024,08:30AM,10:30AM,General,Year1
5,HSGN,22262,500160,Human Anatomy and Physiology,76L,LAB,MDM,28,101988,Gayathri  Arumughan,05/05/2024,08:30AM,10:30AM,General,Year1
4,MECH,22473,408278,Mass Transfer,11,LEC,UOS,13,102008,Abdul Wahab  Bin Mohammad,04/05/2024,08:30AM,10:30AM,General,Year2
8,MASS,22379,806453,Radio & Tv  Directing (1),11,LEB,UOS,14,101476,Alaa Makki Abdulhadi  Akkof,14/05/2024,08:30AM,10:30AM,General,Year4
6,PBLW,24090,602152,Penal Law: General Part,101,LEB,DHM,10,101775,Muna Salim Mohamed Alwasmi,04/05/2024,08:30AM,10:30AM,General,Year1
2,ARAB,24563,201102,Arabic Language,20,LEC,UOS,84,101738,Anas Abbas Idan,28/04/2024,08:30AM,10:30AM,Uni_Requirement,Year1
1,JURF,23404,103323,Jur. of Transaction(2),51,LEC,MAW,7,P-3085,Alfann Masaud Rashid Alsaman Alketbi,12/05/2024,08:30AM,10:30AM,General,Year3
11,PHPR,23703,1102360,Integ. Pharma. & Therap. IIA,71,LEC,MDM,79,101943,Khalid Awad Ayoob Al-Kubaissi,06/05/2024,08:30AM,10:30AM,General,Year3
11,PHPR,22977,1102214,Pathophysiology 2,71,LEC,MDM,3,101309,Rania Awada Harati,04/05/2024,08:30AM,10:30AM,General,Year2
2,INRE,22792,205350,National Internships,11,TRA,UOS,6,101596,Shyamal  Kataria,05/05/2024,08:30AM,10:30AM,General,Year3
6,PBLW,23298,602372,Admin. Decisions and Contracts,51,LEB,MAW,5,102130,Rim  Helali,13/05/2024,08:30AM,10:30AM,General,Year3
5,MDI,21892,502362,Computed Tomography,72L,LAB,MDM,14,10639,Mohamed Mahmoud Abuzaid,13/05/2024,08:30AM,10:30AM,General,Year3
15,COSC,21849,1501211,Programming II,2,LEB,MAM,35,102017,Ayad Mashaan Turky Turky,14/05/2024,08:30AM,10:30AM,General,Year2
15,COSC,21963,1501366,Software Engineering,11,LEC,UOS,61,101104,Manar  Abu Talib,07/05/2024,08:30AM,10:30AM,General,Year3
4,ARCH,21964,404231,Building Construction I,14,LEB,UOS,17,101010,Md. Mamun Ur. Rahid Md. Anisur Rahman,11/05/2024,08:30AM,10:30AM,General,Year2
2,ARAB,21902,201102,Arabic Language,20M,LEC,UOS,98,10161,Ben Issa Abdul Qader Bettaher,28/04/2024,08:30AM,10:30AM,Uni_Requirement,Year1
2,ARAB,21912,201105,Arabic Lang for Non-Arabic Sp.,12,LEC,UOS,96,101822,Dame  Toure,28/04/2024,08:30AM,10:30AM,General,Year1
2,ARAB,21914,201203,Art of Writing in Arabic,1,LEC,MAM,53,102022,Hafid Ismaili Alaoui,29/04/2024,08:30AM,10:30AM,General,Year2
3,BUSP,23901,302464,Leadership & Management,51,LEC,MAW,44,101637,Moyassar Zuhair Al Yas Al Taie,09/05/2024,08:30AM,10:30AM,General,Year4
6,PBLW,20818,602454,Law of Criminal Procedures,51,LEB,MAW,14,102130,Rim  Helali,11/05/2024,08:30AM,10:30AM,General,Year4
14,APHY,20788,1430110,Physics I for sciences,12U,LEC,UOS,31,101172,Kais  Daoudi,09/05/2024,08:30AM,10:30AM,General,Year1
14,APHY,20757,1430107,Physics for Health Sci,72,LEC,MDM,49,101508,Yassir Ahmed  Abdu,12/05/2024,08:30AM,10:30AM,General,Year1
5,NURS,20805,503260,Fundamentals of Nursing,75L,LAB,MDM,21,102175,Muna Mohammed Salem Al-Tamimi,08/05/2024,08:30AM,10:30AM,General,Year2
14,APHY,20807,1430107,Physics for Health Sci,74,LEC,MDM,49,101617,Hafsa  Khurshid,12/05/2024,08:30AM,10:30AM,General,Year1
14,APHY,20776,1430115,Physics 1,11H,LEC,UOS,52,102082,Mejd Majid Mohamed Alsari Almheiri,09/05/2024,08:30AM,10:30AM,General,Year1
5,NURS,20794,503260,Fundamentals of Nursing,74L,LAB,MDM,21,10750,Mini Sara  Abraham,08/05/2024,08:30AM,10:30AM,General,Year2
1,FREL,20926,104100,Islamic Culture,31E,LEC,UOS,102,102001,Reda Ibrahim Ibrahim Alsayed Abdelgalil,27/04/2024,08:30AM,10:30AM,Uni_Requirement,Year1
15,CENG,20613,1502201,Digital Logic Design,11,LEC,UOS,51,101344,Sohaib  Majzoub,09/05/2024,11:00AM,13:00PM,General,Year2
4,CIVL,20462,401343,Fluid Mechanics,12,LEC,UOS,48,101924,Ahmed  Al Makky,12/05/2024,11:00AM,13:00PM,General,Year3
14,CHMS,20063,1420225,Analytical Chemistry for HS,11,LEC,UOS,60,10078,Ayssar Hussein Nahle,09/05/2024,11:00AM,13:00PM,General,Year2
14,BIOT,20376,1450361,Tissue Culture&Animal Biotech.,12,LEC,UOS,50,10920,Ban  Al Joubori,05/05/2024,11:00AM,13:00PM,General,Year3
14,MATH,20210,1440161,Calculus II for Engineers,3,LEC,MAM,47,101615,Belkacem  Said Houari,05/05/2024,11:00AM,13:00PM,General,Year1
14,MATH,20211,1440161,Calculus II for Engineers,51,LEC,MAW,44,10739,Basim Saleem Atteli,05/05/2024,11:00AM,13:00PM,General,Year1
14,MATH,20225,1440261,Diff. Equs for Engs,1,LEC,MAM,42,101845,Aziz Jozilovich Takhirov,06/05/2024,11:00AM,13:00PM,General,Year2
14,MATH,20230,1440261,Diff. Equs for Engs,52,LEC,MAW,52,101016,Firas  Ghanim,06/05/2024,11:00AM,13:00PM,General,Year2
11,PHPR,23811,1104453,Law and Ethics,74,LEC,MDM,38,101749,Feras Jassim Jirjees,12/05/2024,11:00AM,13:00PM,General,Year4
7,FNAR,23685,701100,Introduction to Fine Arts,11,LES,FAM,11,101689,Karima Mohamed Abdel Aziz,14/05/2024,11:00AM,13:00PM,General,Year1
7,FNAR,23690,701215,Fine Arts Videography,11,LES,FAM,8,101752,Hans Torsten Seidel,05/05/2024,11:00AM,13:00PM,General,Year2
6,PRLW,24469,601423,Private International Law,1,OFH,MAM,2,101962,Nashwa Ahmed Mohamed,05/05/2024,11:00AM,13:00PM,General,Year4
1,FREL,23516,104318,Studies of Sects,1,LEC,MAM,14,101881,Mahmoud Batal Mohamed Ahmed,11/05/2024,11:00AM,13:00PM,General,Year3
6,PBLW,21272,602247,Legal Studies In English(S&L),11,LEC,MAW,5,102126,Abdelnaser Sayid Mohamed Aljahani,14/05/2024,11:00AM,13:00PM,General,Year2
15,COSC,24168,1501101,Introduction to IT(Arabic),31,LEB,KOM,18,P-2993,Ali  Emad Nehad,02/05/2024,11:00AM,13:00PM,General,Year1
4,EECE,20994,402346,Telecommunication Systems 1,1,LEC,MAM,29,101198,Saeed  Abdallah,06/05/2024,11:00AM,13:00PM,General,Year3
5,HSAD,21204,504262,Manag. in Primary Healthcare,71,LEC,MDM,19,101516,Amina Mohammed Abdulla Almarzooqi,06/05/2024,11:00AM,13:00PM,General,Year2
2,SOCI,20982,204412,Social Organizations,51,LEC,MAW,52,101093,Omaima Mohamed Abou Elkheir,06/05/2024,11:00AM,13:00PM,General,Year4
5,CLNU,21208,507262,Food Psychology and Sociology,71,LEC,MDM,61,101063,Hadia  Radwan,12/05/2024,11:00AM,13:00PM,General,Year2
4,SREE,21609,406330,Wind Energy Systems,11,LEC,UOS,22,101924,Ahmed  Al Makky,14/05/2024,11:00AM,13:00PM,General,Year3
5,PHTH,23618,505361,PT for Musc. Condition(2),74L,LAB,MDM,25,102159,Mouza Jamal Nasser Rashed Lootah,09/05/2024,11:00AM,13:00PM,General,Year3
8,MASS,24264,808415,Online Journalism,11,LEC,UOS,15,101478,Chinyeaka Ogadimma  Emenyeonu,05/05/2024,11:00AM,13:00PM,General,Year4
3,FNEC,23798,308455,Economic Development,11,LEC,UOS,4,101370,Atif Awoad Moheeldeen,13/05/2024,11:00AM,13:00PM,General,Year4
6,PRLW,24122,601111,Introduction to Law,101,LEC,DHM,8,101917,Nada Mohamed Mahmoud Hassan Almaazmi,05/05/2024,11:00AM,13:00PM,General,Year1
11,PHCS,22191,1103121,Microbiology,72L,LAB,MDM,26,101709,Shijna Ramachandran Chamathakkriyil Kappally,05/05/2024,11:00AM,13:00PM,General,Year1
11,PHCS,22193,1103121,Microbiology,73L,LAB,MDM,32,101709,Shijna Ramachandran Chamathakkriyil Kappally,05/05/2024,11:00AM,13:00PM,General,Year1
5,CLNU,22024,507405,Nutrition Counseling & Comm.,71,LEC,MDM,49,101847,Farah  Naja,09/05/2024,11:00AM,13:00PM,General,Year4
5,MLT,22009,501454,Practicum in Hematology,71,CLI,MDM,15,10913,Hilda Mahmoud Allam,08/05/2024,11:00AM,13:00PM,General,Year4
11,PHCS,22207,1103312,Pharmaceutics I B,71L,LAB,MDM,18,101984,Mirhan Mostafa Gamal Mohamed,08/05/2024,11:00AM,13:00PM,General,Year3
4,ARCH,22001,404451,Urban Planning and Design,11,LEB,UOS,15,101253,Majd Abdallah Musa,14/05/2024,11:00AM,13:00PM,General,Year4
4,MECH,22314,408220,Kinematics,11,LEC,UOS,15,101120,Naser Khaled Nawayseh,14/05/2024,11:00AM,13:00PM,General,Year2
4,IEMG,22421,405202,Manufacturing Processes,51,LEB,MAW,13,101771,Mohammad Awni  Mohammad Khasawneh,13/05/2024,11:00AM,13:00PM,General,Year2
4,MECH,22305,408170,Intro. to Chem.& Env. Sc.&Eng.,11,LEC,UOS,1,101951,Mohd  Sobri Bin Takriff,09/05/2024,11:00AM,13:00PM,General,Year1
1,JURF,24015,103343,Rights in rem ag. Islm. Jurs.,81,LEC,KOW,8,P-2816,Abdul Hamed Zafarul Hasan Ahmadullah,08/05/2024,11:00AM,13:00PM,General,Year3
2,HISL,24628,203465,Tourism & Cultural Heritage,12,OFH,UOS,1,101766,Mohamed Ahmed Aboushouk,12/05/2024,11:00AM,13:00PM,General,Year4
2,SOCI,24612,204494,Research Project,102,PRJ,DHM,25,101784,Raouf  Kaouache,05/05/2024,11:00AM,13:00PM,General,Year4
3,BUSP,22947,302467,Strategic Management,11,LEC,UOS,62,102118,Mian Muhammad  Ajmal,05/05/2024,11:00AM,13:00PM,General,Year4
7,ADES,23662,702315,Fashion Design Studio IV,11,LES,FAM,14,102135,Alina  Erimia,06/05/2024,11:00AM,13:00PM,General,Year3
4,IEMG,22875,405434,Maintenance Planning & Control,11,LEC,UOS,34,101586,Hamad  Rashid,06/05/2024,11:00AM,13:00PM,General,Year4
14,BIOT,22927,1450361,Tissue Culture&Animal Biotech.,17L,LAB,UOS,20,10920,Ban  Al Joubori,05/05/2024,11:00AM,13:00PM,General,Year3
6,PRLW,23972,601216,Nominate Cnt.(Sale &Ins. Cnt.),41,LEB,KUM,1,101087,A  Ayman Mohamed Zain Osman Mohamed Zain,13/05/2024,11:00AM,13:00PM,General,Year2
15,COSC,21874,1501246,Obj. Oriented Design with Java,51,LEB,MAW,34,102061,Fatih  Kurugollu,08/05/2024,11:00AM,13:00PM,General,Year2
11,PHPR,21894,1104453,Law and Ethics,71,LEC,MDM,66,101749,Feras Jassim Jirjees,12/05/2024,11:00AM,13:00PM,General,Year4
5,MLT,21818,501363,Pathology,72,LEC,MDM,30,10687,Wael Mohamed Hassan,07/05/2024,11:00AM,13:00PM,General,Year3
11,PHPR,21741,1102120,Human Anatomy & Physiology II,71,LEC,MDM,34,101309,Rania Awada Harati,09/05/2024,11:00AM,13:00PM,General,Year1
2,ENGL,20866,202431,Methods of Teaching English,11,LEC,UOS,19,102051,Sharif Mutlaq Ahmad Alghazo,14/05/2024,11:00AM,13:00PM,General,Year4
2,SOCI,20910,204225,Social Work  Community,11,LEC,UOS,72,101791,Wafa Barhoumi EP Hamdi,11/05/2024,11:00AM,13:00PM,General,Year2
14,APHY,20841,1460413,Reservoir characterization,11,LEC,UOS,7,102170,Nouf Sultan Saif Mohamed Alteneiji,09/05/2024,11:00AM,13:00PM,General,Year4
14,APHY,20827,1430102,Intro. to General Geology,11,LEC,UOS,40,101746,Daniil  Moraitis,13/05/2024,11:00AM,13:00PM,General,Year1
