id,COL,DEPT,CRN,CRS_NO,TITLE,SECT,TYPE_,CAMP,ENROL,INSTR_ID,INSTRUCTOR,EXAM_DATE,COURSE_TYPE,COURSE_CLASS,time_slot
20,8,PUBL,23632,807202,Effective Present. & Speech,12,LEC,UOS,7,101145,Shareefa  Al-Marzooqi,09/05/2024,General,Year2,08:30AM - 10:30AM
31,5,MLT,23311,501260,Biochemistry,77L,LAB,MDM,24,101745,Dana Faraj Salahat,09/05/2024,General,Year2,08:30AM - 10:30AM
37,11,PHPR,24532,1104352,Pharmacy Management,74,LEC,MDM,6,101073,Abduel Mula R. Abdul Karem,09/05/2024,General,Year3,08:30AM - 10:30AM
41,5,PHTH,22138,505262,Assessment in Physiotherapy,73L,LAB,MDM,35,101986,Amal Lahcen Ahbouch,09/05/2024,General,Year2,08:30AM - 10:30AM
51,2,HISL,22441,203110,Methods of Historical Research,11M,LEC,UOS,29,102133,Mashhad  Al-Allaf,09/05/2024,General,Year1,08:30AM - 10:30AM
74,14,APHY,20772,1430115,Physics 1,02Z,LEC,MAM,47,101886,Amine  Ahriche,09/05/2024,General,Year1,08:30AM - 10:30AM
76,14,APHY,20778,1430115,Physics 1,12G,LEC,UOS,42,102114,Mahmoud Rabie Abdel-Hafez,09/05/2024,General,Year1,08:30AM - 10:30AM
80,14,APHY,20735,1430115,Physics 1,53Q,LEC,MAW,39,102082,Mejd Majid Mohamed Alsari Almheiri,09/05/2024,General,Year1,08:30AM - 10:30AM
83,15,BUIS,20604,1503330,Systems Analysis and Design,11,LEC,UOS,40,10441,Samar Ahmad Mouakket,09/05/2024,General,Year3,11:00AM - 13:00PM
91,2,INRE,20358,205101,Introduction to Intern. Rela.,51,LEC,MAW,36,102056,William Charles Frick,09/05/2024,General,Year1,11:00AM - 13:00PM
119,8,MASS,22160,806265,Web Design - E,11,LEB,UOS,21,101477,Mohammed Fathi A'Aluan Yousaf,09/05/2024,General,Year2,11:00AM - 13:00PM
121,5,PHTH,22275,505361,PT for Musc. Condition(2),73L,LAB,MDM,28,102159,Mouza Jamal Nasser Rashed Lootah,09/05/2024,General,Year3,11:00AM - 13:00PM
125,15,CENG,22921,1502201,Digital Logic Design,13,LEC,UOS,53,P-3107,Haitham  Tayyar,09/05/2024,General,Year2,11:00AM - 13:00PM
130,11,PHPR,21873,1102521,Pharmacology III,71,LEC,MDM,87,10782,Raafat Abd El Gawad El Awady,09/05/2024,General,Year5,11:00AM - 13:00PM
