id,COL,DEPT,CRN,CRS_NO,TITLE,SECT,TYPE_,CAMP,ENROL,INSTR_ID,INSTRUCTOR,EXAM_DATE,COURSE_TYPE,COURSE_CLASS,time_slot
1,3,BUSP,20675,302250,Legal Environment of Business,53,LEC,MAW,61,101936,Sheer  Abbas,12/05/2024,General,Year2,08:30AM - 10:30AM
11,4,CIVL,20422,401314,Reinforced Concrete Design 1,11,LEC,UOS,3,101486,Muhammad Talha Junaid,12/05/2024,General,Year3,08:30AM - 10:30AM
15,2,IEP,21251,11113,Writing Skills,11,LEC,UOS,36,10606,Nevin Kamal EL Gazzar,12/05/2024,General,Year1,08:30AM - 10:30AM
16,2,IEP,21253,11113,Writing Skills,12,LEC,UOS,37,10508,Domenic  Fumo,12/05/2024,General,Year1,08:30AM - 10:30AM
17,14,APHY,21345,1430107,Physics for Health Sci,79L,LAB,MDM,24,101109,Tahani  Ibrahim Ragheb AL Sarayreh,12/05/2024,General,Year1,08:30AM - 10:30AM
54,6,PRLW,23279,601214,Rules of Obligations,11,LEC,UOS,8,101059,M  Mahmoud I. M. Fayyad,12/05/2024,General,Year2,08:30AM - 10:30AM
55,14,APHY,22919,1430107,Physics for Health Sci,77L,LAB,UOS,24,101108,Saja  Abdulhadi,12/05/2024,General,Year1,08:30AM - 10:30AM
56,14,APHY,22920,1430107,Physics for Health Sci,84L,LAB,UOS,23,101505,Abdulraheem mohamed Khudada Mohamed,12/05/2024,General,Year1,08:30AM - 10:30AM
78,14,APHY,20903,1430442,Intro to Rad Phys Dosimetry,11,LEC,UOS,11,10480,Hussein Mohamed EL Mehdi,12/05/2024,General,Year4,08:30AM - 10:30AM
84,1,JURF,20536,103445,Prov. of evid. aga. isl. jur.,51,LEC,MAW,9,101453,Mohammad Mahmoud Dojan  Al Emoush,12/05/2024,General,Year4,11:00AM - 13:00PM
