id,COL,DEPT,CRN,CRS_NO,TITLE,SECT,TYPE_,CAMP,ENROL,INSTR_ID,INSTRUCTOR,EXAM_DATE,COURSE_TYPE,COURSE_CLASS,time_slot
7,2,ENGL,20096,202213,Short Fiction,51,LEC,MAW,9,101628,Andrew Joseph Power,05/05/2024,General,Year2,08:30AM - 10:30AM
40,5,HSGN,23239,500160,Human Anatomy and Physiology,84L,LAB,MDM,27,102104,Asma Ebrahim Hasan Almulla Almansoori,05/05/2024,General,Year1,08:30AM - 10:30AM
44,5,HSGN,22258,500160,Human Anatomy and Physiology,72L,LAB,MDM,28,101988,Gayathri  Arumughan,05/05/2024,General,Year1,08:30AM - 10:30AM
45,5,HSGN,22260,500160,Human Anatomy and Physiology,74L,LAB,MDM,30,10770,Sondos Abderraheem Harfeel,05/05/2024,General,Year1,08:30AM - 10:30AM
46,5,HSGN,22261,500160,Human Anatomy and Physiology,75L,LAB,MDM,27,101988,Gayathri  Arumughan,05/05/2024,General,Year1,08:30AM - 10:30AM
49,5,HSGN,22267,500160,Human Anatomy and Physiology,78L,LAB,MDM,26,101745,Dana Faraj Salahat,05/05/2024,General,Year1,08:30AM - 10:30AM
50,5,HSGN,22253,500160,Human Anatomy and Physiology,72,LEC,MDM,70,10328,Haydar A. Hasan,05/05/2024,General,Year1,08:30AM - 10:30AM
52,5,HSGN,22256,500160,Human Anatomy and Physiology,75,LEC,MDM,62,10971,Moawiah M.Assad A . Abdel Haq,05/05/2024,General,Year1,08:30AM - 10:30AM
73,4,EECE,20756,402202,Circuit Analysis I,51,LEC,MAW,40,101884,Venkata Veera Muralee Gopi Chandu,05/05/2024,General,Year2,08:30AM - 10:30AM
92,14,BIOT,20365,1450361,Tissue Culture&Animal Biotech.,11L,LAB,UOS,16,10920,Ban  Al Joubori,05/05/2024,General,Year3,11:00AM - 13:00PM
93,14,BIOT,20371,1450361,Tissue Culture&Animal Biotech.,15L,LAB,UOS,20,10920,Ban  Al Joubori,05/05/2024,General,Year3,11:00AM - 13:00PM
94,14,MATH,20247,1440161,Calculus II for Engineers,53,LEC,MAW,42,10739,Basim Saleem Atteli,05/05/2024,General,Year1,11:00AM - 13:00PM
95,14,MATH,20224,1440161,Calculus II for Engineers,52,LEC,MAW,36,101615,Belkacem  Said Houari,05/05/2024,General,Year1,11:00AM - 13:00PM
