id,COL,DEPT,CRN,CRS_NO,TITLE,SECT,TYPE_,CAMP,ENROL,INSTR_ID,INSTRUCTOR,EXAM_DATE,COURSE_TYPE,COURSE_CLASS,time_slot
47,4,IEMG,22411,405464,Project Management,11,LEC,UOS,38,102127,Waqar Ahmed  Khan,04/05/2024,General,Year4,08:30AM - 10:30AM
172,11,PHPR,23705,1102369,Integ. Pharma. & Therap. IIB,71,LEC,MDM,29,101309,Rania Awada Harati,04/05/2024,General,Year3,13:30PM - 15:30PM
173,11,PHPR,23706,1102369,Integ. Pharma. & Therap. IIB,72,LEC,MDM,75,101309,Rania Awada Harati,04/05/2024,General,Year3,13:30PM - 15:30PM
177,5,HSGN,22832,500450,Introduction to Research,71,LEC,MDM,17,101974,Dilber Uzun Ozsahin,04/05/2024,General,Year4,13:30PM - 15:30PM
184,3,BUSP,23899,302462,Mang. Change & Innovation,1,LEC,MAM,44,102054,Syed  Abidur Rahman,04/05/2024,General,Year4,13:30PM - 15:30PM
189,6,PBLW,20897,602244,Public International Law,51,LEC,MAW,10,102126,Abdelnaser Sayid Mohamed Aljahani,04/05/2024,General,Year2,13:30PM - 15:30PM
190,14,APHY,20792,1430117,Physics 2,3,LEC,MAM,50,101435,Rachik  Soualah,04/05/2024,General,Year1,13:30PM - 15:30PM
192,6,PBLW,20939,602244,Public International Law,1,LEC,MAM,39,101994,Jamal  Barafi,04/05/2024,General,Year2,13:30PM - 15:30PM
194,14,APHY,20752,1430117,Physics 2,51,LEC,MAW,51,102083,Ihab Mohammad Naji Obaidat,04/05/2024,General,Year1,13:30PM - 15:30PM
195,14,APHY,20753,1430117,Physics 2,4,LEC,MAM,41,101435,Rachik  Soualah,04/05/2024,General,Year1,13:30PM - 15:30PM
199,1,JURF,20513,103420,Juridical Rules,1,LEC,MAM,35,102085,Aziz Farhan M Alenezi,04/05/2024,General,Year4,16:00PM - 18:00PM
202,2,EDUC,20035,206145,Family & Child-Rearing,51,LEC,MAW,13,102149,Najeh Rajeh Ibrahim Alsalhi,04/05/2024,General,Year1,16:00PM - 18:00PM
208,2,INRE,20421,205204,Intro. to Political Philosophy,11,LEC,UOS,74,101813,Stephen  John,04/05/2024,General,Year2,16:00PM - 18:00PM
231,11,PHPR,21699,1102114,Human Anatomy & Physiology I,71,LEC,MDM,166,102074,Fatemeh Saheb Askari,04/05/2024,General,Year1,16:00PM - 18:00PM
242,5,HSGN,22112,500150,Biology,72,LEC,MDM,66,102104,Asma Ebrahim Hasan Almulla Almansoori,04/05/2024,General,Year1,16:00PM - 18:00PM
246,2,HISL,22442,203442,Mod. and Cont. Arab Hist.,11,LEC,UOS,10,101743,Badreyya Mohammed Salem Alhooleh Alshamsi,04/05/2024,General,Year4,16:00PM - 18:00PM
252,3,ACCT,22547,301421,Auditing Principles,11,LEC,UOS,41,102113,Ammad  Ahmed,04/05/2024,General,Year4,16:00PM - 18:00PM
280,2,SOCI,20797,204101,Intro. to Sociology,51,LEC,MAW,35,101969,Khadija Ahmed Ibrahim Al Balushi,04/05/2024,General,Year1,16:00PM - 18:00PM
304,4,SREE,21623,406453,Energy Mgt. for Sustainability,51,LEC,MAW,26,101448,Bashria Abdrubalrasoul Abdalla  Yousef,04/05/2024,General,Year4,08:30AM - 10:30AM
320,4,NUCL,22427,407454,Radiological Health Eng.Fund.,11,LEC,UOS,10,101338,Muhammad  Zubair,04/05/2024,General,Year4,08:30AM - 10:30AM
345,6,PBLW,20812,602152,Penal Law: General Part,1,LEB,MAM,43,102130,Rim  Helali,04/05/2024,General,Year1,08:30AM - 10:30AM
350,6,PBLW,20814,602152,Penal Law: General Part,51,LEB,MAW,38,101887,Halima Khalid Nasir Saif Almidfa,04/05/2024,General,Year1,08:30AM - 10:30AM
434,2,INRE,20426,205301,Conflict in the World,11,LEC,UOS,52,101596,Shyamal  Kataria,04/05/2024,General,Year3,13:30PM - 15:30PM
460,3,FNEC,23794,308334,Real Estate Finance,51,LEC,MAW,20,101910,Noura Saad Abdelhamid Abdelhamid Metawa,04/05/2024,General,Year3,13:30PM - 15:30PM
468,11,PHPR,23705,1102369,Integ. Pharma. & Therap. IIB,71,LEC,MDM,29,102138,Zelal Jaber Kharaba,04/05/2024,General,Year3,13:30PM - 15:30PM
509,2,HISL,23499,203321,His. of Abb. until 4th Cen. H,11A,LEC,UOS,11,10774,Nadjib  ben kheira,04/05/2024,General,Year3,16:00PM - 18:00PM
531,4,MECH,22330,408467,"Heating,Ventilation & Air-Con.",11,LEC,UOS,35,101341,Mohammed Kamil Mohammed Mohammed,04/05/2024,General,Year4,16:00PM - 18:00PM
595,5,CLNU,21234,507460,Food Service Management,71,LEC,MDM,66,101515,Tareq (Mohammad Ibrahim) A.H. Osaili,04/05/2024,General,Year4,08:30AM - 10:30AM
604,2,IEP,21145,12102,Intensive English Preparatory3,52,LEC,MAW,19,10740,Mohammad Amir Samimi,04/05/2024,General,Year2,08:30AM - 10:30AM
607,4,SREE,21621,406453,Energy Mgt. for Sustainability,11,LEC,UOS,32,101448,Bashria Abdrubalrasoul Abdalla  Yousef,04/05/2024,General,Year4,08:30AM - 10:30AM
616,4,MECH,22473,408278,Mass Transfer,11,LEC,UOS,13,102008,Abdul Wahab  Bin Mohammad,04/05/2024,General,Year2,08:30AM - 10:30AM
622,11,PHPR,22977,1102214,Pathophysiology 2,71,LEC,MDM,3,101309,Rania Awada Harati,04/05/2024,General,Year2,08:30AM - 10:30AM
693,1,JURF,20525,103401,Islamic Studies in English,51,LEC,MAW,7,101758,Kabiru  Goje,04/05/2024,General,Year4,13:30PM - 15:30PM
731,3,FNEC,23793,308334,Real Estate Finance,1,LEC,MAM,16,101910,Noura Saad Abdelhamid Abdelhamid Metawa,04/05/2024,General,Year3,13:30PM - 15:30PM
739,11,PHPR,23705,1102369,Integ. Pharma. & Therap. IIB,71,LEC,MDM,29,102074,Fatemeh Saheb Askari,04/05/2024,General,Year3,13:30PM - 15:30PM
742,6,PRLW,24222,601232,Company Law,11,LEB,MAM,16,102108,Nizar  Mannai,04/05/2024,General,Year2,13:30PM - 15:30PM
752,3,BUSP,23903,302462,Mang. Change & Innovation,52,LEC,MAW,33,102054,Syed  Abidur Rahman,04/05/2024,General,Year4,13:30PM - 15:30PM
