id,COL,DEPT,CRN,CRS_NO,TITLE,SECT,TYPE_,CAMP,ENROL,INSTR_ID,INSTRUCTOR,EXAM_DATE,COURSE_TYPE,COURSE_CLASS,time_slot
10,14,MATH,20222,1440163,Calc. I for Health Sc.,51,LEC,MAW,41,101009,Nida  Siddiqui,08/05/2024,General,Year1,08:30AM - 10:30AM
18,6,LAW,24490,606161,Constitutional Law,11,LEC,UOS,10,101788,Simon   Badran,08/05/2024,General,Year1,08:30AM - 10:30AM
23,4,EECE,21044,402343,Random Signal & Systems,11,LEC,UOS,18,102024,Hayssam  Dahrouj,08/05/2024,General,Year3,08:30AM - 10:30AM
42,5,PHTH,22220,505265,Anatomy(2),72,LEC,MDM,59,101986,Amal Lahcen Ahbouch,08/05/2024,General,Year2,08:30AM - 10:30AM
58,15,CENG,22687,1502334,Embedded Systems Design,12,LEB,UOS,22,101058,Mohamed Talal  Bonny,08/05/2024,General,Year3,08:30AM - 10:30AM
60,5,MLT,21811,501362,Hematology(2)/ Coagulation,71L,LAB,MDM,30,10216,Omar Mahmoud Chebbo,08/05/2024,General,Year3,08:30AM - 10:30AM
62,15,COSC,21918,1501279,Discrete Structures,11,LEC,UOS,44,102122,Karam Mohamed Goda Mohamed Sallam,08/05/2024,General,Year2,08:30AM - 10:30AM
63,5,MLT,21813,501362,Hematology(2)/ Coagulation,73L,LAB,MDM,32,10216,Omar Mahmoud Chebbo,08/05/2024,General,Year3,08:30AM - 10:30AM
66,5,NURS,23758,503260,Fundamentals of Nursing,78L,LAB,MDM,20,102101,Richard  Mottershead,08/05/2024,General,Year2,08:30AM - 10:30AM
71,5,NURS,20802,503260,Fundamentals of Nursing,73,LEC,MDM,36,102175,Muna Mohammed Salem Al-Tamimi,08/05/2024,General,Year2,08:30AM - 10:30AM
114,2,INRE,24257,205327,Political Economy of the ME,12,LEC,UOS,73,101813,Stephen  John,08/05/2024,General,Year3,11:00AM - 13:00PM
115,6,PBLW,23243,602343,Administrative Law (2),1,LEB,MAM,9,101968,Eman Ahmed Abdelrahman Abdalla Alabdouli,08/05/2024,General,Year3,11:00AM - 13:00PM
117,6,PRLW,23250,601336,Negotiable Instruments,51,LEC,MAW,15,101088,Mudafar Jaber AL Rawi,08/05/2024,General,Year3,11:00AM - 13:00PM
