id,COL,DEPT,CRN,CRS_NO,TITLE,SECT,TYPE_,CAMP,ENROL,INSTR_ID,INSTRUCTOR,EXAM_DATE,COURSE_TYPE,COURSE_CLASS,time_slot
21,8,PUBL,23633,807228,Social Media,12,LEB,UOS,52,102068,Mokhtar H Mohamed Elareshi,07/05/2024,General,Year2,08:30AM - 10:30AM
27,5,HSAD,21198,504260,Leadership & Mang. in H. Prof,73,LEC,MDM,62,101061,Syed Azizur Rahman,07/05/2024,General,Year2,08:30AM - 10:30AM
28,3,BUSP,21731,302443,Supply Chain Analytics,11,LEC,UOS,41,102066,Mehmood  Khan,07/05/2024,General,Year4,08:30AM - 10:30AM
82,3,BUSP,20672,302383,Business and Government,51,LEC,MAW,50,10234,Abu Elias  Sarker,07/05/2024,General,Year3,11:00AM - 13:00PM
86,1,JURF,20516,103325,Jur. of Wills and Inheritance,1,LEC,MAM,24,101762,Madou Gaye Sylla,07/05/2024,General,Year3,11:00AM - 13:00PM
122,11,MDCH,22303,1101412,Med. Chem. III B,71,LEC,MDM,75,10808,Abdel Nasser A. Elshorbagi,07/05/2024,General,Year4,11:00AM - 13:00PM
131,5,NURS,23750,503101,Health and Safety,72E,LEC,MDM,141,101895,Mustafa Muhamad Habeb,07/05/2024,General,Year1,11:00AM - 13:00PM
134,14,APHY,20745,1460120,Physical Geology,11T,LEC,UOS,2,101746,Daniil  Moraitis,07/05/2024,General,Year1,11:00AM - 13:00PM
169,5,MLT,22484,501370,Hematology(1),11,LEC,UOS,62,P-3077,Enas Yasin Muhamed Al-Zubi,07/05/2024,General,Year3,13:30PM - 15:30PM
170,5,MLT,22486,501370,Hematology(1),12L,LAB,UOS,17,101166,Islam Mohamed El Ahmadi,07/05/2024,General,Year3,13:30PM - 15:30PM
183,15,COSC,21857,1501215,Data Structures,11,LEC,UOS,43,102125,Mian Ahmad  Jan,07/05/2024,General,Year2,13:30PM - 15:30PM
186,14,APHY,20834,1460231,Intro. to Remote Sensing,11,LEC,UOS,13,102170,Nouf Sultan Saif Mohamed Alteneiji,07/05/2024,General,Year2,13:30PM - 15:30PM
200,1,FREL,20570,104132,Sciences of Hadith,1,LEC,MAM,24,10498,Kassem Ali Saad,07/05/2024,General,Year1,16:00PM - 18:00PM
230,6,PRLW,21089,601315,Labor Law and Social Security,1,LEC,MAM,35,101395,Aouataf  Zerara,07/05/2024,General,Year3,16:00PM - 18:00PM
264,15,COSC,21840,1501116,Programming I,53,LEB,MAW,35,102122,Karam Mohamed Goda Mohamed Sallam,07/05/2024,General,Year1,16:00PM - 18:00PM
268,15,COSC,24462,1501116,Programming I,12,LEB,UOS,35,P-1542,Ammar  Kaziha,07/05/2024,General,Year1,16:00PM - 18:00PM
302,5,CLNU,21210,507263,Food Microbiology,71L,LAB,MDM,21,101515,Tareq (Mohammad Ibrahim) A.H. Osaili,07/05/2024,General,Year2,08:30AM - 10:30AM
358,1,JURF,20518,103325,Jur. of Wills and Inheritance,2,LEC,MAM,13,101762,Madou Gaye Sylla,07/05/2024,General,Year3,11:00AM - 13:00PM
366,5,NURS,20430,503101,Health and Safety,71A,LEC,UOS,143,102041,Muna Hassan Mohammed Hammash,07/05/2024,General,Year1,11:00AM - 13:00PM
388,5,NURS,24556,503101,Health and Safety,73E,LEC,MDM,40,102174,Muhammed Ayas  Kalla Puthiyaveettil,07/05/2024,General,Year1,11:00AM - 13:00PM
416,14,APHY,20745,1460120,Physical Geology,11T,LEC,UOS,2,101990,Asma Ali Ahmed Almughanni Alnaqbi,07/05/2024,General,Year1,11:00AM - 13:00PM
426,3,BUSP,20704,302367,Entrepreneurship,1,LEC,MAM,47,10764,Syed Awais Ahmed,07/05/2024,General,Year3,13:30PM - 15:30PM
433,14,BIOT,20386,1450103,Ecology,51,LEC,MAW,18,101555,Elsiddig Ahmed Elmustafa Elsheikh,07/05/2024,General,Year1,13:30PM - 15:30PM
481,14,APHY,20839,1430221,Classical Mechanics,11,LEC,UOS,17,101617,Hafsa  Khurshid,07/05/2024,General,Year2,13:30PM - 15:30PM
486,2,ENGL,20670,202230,Introduction to Language,11,LEC,UOS,9,101705,Sane  Mo Yagi,07/05/2024,General,Year2,16:00PM - 18:00PM
490,4,CIVL,20531,401495,Pro. Practice in Civl&Env.Eng.,11,LEC,UOS,3,10975,Radhi Mohsen AL Zubaidi,07/05/2024,General,Year4,16:00PM - 18:00PM
518,5,MDI,21673,502264,Patient Care & Management(2),71L,LAB,MDM,17,101189,Leena Rajan David,07/05/2024,General,Year2,16:00PM - 18:00PM
529,4,MECH,22310,408271,Water Chemistry and Analysis,11,LEB,UOS,14,102070,Ihsanullah  Obaidullah,07/05/2024,General,Year2,16:00PM - 18:00PM
533,15,COSC,24623,1501116,Programming I,13,LEB,UOS,0,P-3126,Eliseo  Ferrante,07/05/2024,General,Year1,16:00PM - 18:00PM
543,15,COSC,21830,1501113,Programming for Engineers,2,LEB,MAM,20,102076,Maged Abdelkhalek Elsayed Mohamed Elsheshtawy,07/05/2024,General,Year1,16:00PM - 18:00PM
544,15,COSC,21831,1501113,Programming for Engineers,51,LEB,MAW,14,102026,Isam Mashhour Hasan Al Jawarneh,07/05/2024,General,Year1,16:00PM - 18:00PM
547,15,COSC,21833,1501116,Programming I,01U,LEB,MAM,34,102003,Sarah Abdelkarim Abouelfetouh Darwish,07/05/2024,General,Year1,16:00PM - 18:00PM
549,15,COSC,21834,1501116,Programming I,2,LEB,MAM,33,102076,Maged Abdelkhalek Elsayed Mohamed Elsheshtawy,07/05/2024,General,Year1,16:00PM - 18:00PM
554,15,COSC,21838,1501116,Programming I,51,LEB,MAW,33,P-3114,Menen Kassim Mohammed,07/05/2024,General,Year1,16:00PM - 18:00PM
557,4,EECE,23766,402462,Special Topics in Comm. Sys.,11,LEC,UOS,57,101487,Khawla Abdelwahab Nasir Abdulla Alnajjar,07/05/2024,General,Year4,16:00PM - 18:00PM
588,2,INRE,20406,205240,Comparative Governments of GCC,11,LEC,UOS,73,102148,Mona  Salman,07/05/2024,General,Year2,08:30AM - 10:30AM
599,4,ARCH,23369,404417,Structural Steel Design,11,LEC,UOS,16,101579,Zaid A Abduljabar  Al-Sa'doon,07/05/2024,General,Year4,08:30AM - 10:30AM
601,5,HSAD,21193,504260,Leadership & Mang. in H. Prof,71,LEC,MDM,33,101989,Alounoud Mohamed Hassan Ramadan Salman,07/05/2024,General,Year2,08:30AM - 10:30AM
627,15,COSC,21963,1501366,Software Engineering,11,LEC,UOS,61,101104,Manar  Abu Talib,07/05/2024,General,Year3,08:30AM - 10:30AM
684,5,MLT,21818,501363,Pathology,72,LEC,MDM,30,10687,Wael Mohamed Hassan,07/05/2024,General,Year3,11:00AM - 13:00PM
694,1,JURF,20508,103338,Jur.of Justice&ways of Evidenc,51,LEC,MAW,10,101036,Hassan  Al Rifai,07/05/2024,General,Year3,13:30PM - 15:30PM
700,14,BIOT,20292,1450103,Ecology,1,LEC,MAM,16,101555,Elsiddig Ahmed Elmustafa Elsheikh,07/05/2024,General,Year1,13:30PM - 15:30PM
728,5,MLT,23318,501370,Hematology(1),13L,LAB,UOS,21,101166,Islam Mohamed El Ahmadi,07/05/2024,General,Year3,13:30PM - 15:30PM
750,5,MDI,21774,502265,Introduction to Radiology,72,LEC,MDM,39,101794,Huseyin Ozan Tekin,07/05/2024,General,Year2,13:30PM - 15:30PM
751,11,PHPR,21928,1104522,Clinical Pharmacy II B,72,LEC,MDM,37,101777,Nadia Rashed Ali Almazrouei,07/05/2024,General,Year5,13:30PM - 15:30PM
762,4,CIVL,20535,401496,Pro. Practice in Civl&Env.Eng.,11,LEC,UOS,14,10975,Radhi Mohsen AL Zubaidi,07/05/2024,General,Year4,16:00PM - 18:00PM
781,3,FNEC,21045,308351,Intermediate Microeconomics,11,LEC,UOS,7,102025,Ilhan  Ozturk,07/05/2024,General,Year3,16:00PM - 18:00PM
808,15,COSC,21842,1501116,Programming I,54U,LEB,MAW,35,P-2877,Mohammad Rustom Alnasar,07/05/2024,General,Year1,16:00PM - 18:00PM
809,15,COSC,21842,1501116,Programming I,54U,LEB,MAW,35,102003,Sarah Abdelkarim Abouelfetouh Darwish,07/05/2024,General,Year1,16:00PM - 18:00PM
813,4,ARCH,21944,404204,Surveying,11,LEB,UOS,19,101980,Samir Mohammed Osman Hassan Dirar,07/05/2024,General,Year2,16:00PM - 18:00PM
817,15,COSC,21836,1501116,Programming I,4,LEB,MAM,32,P-3108,Muath Ibrahim Mohammad Jarrah,07/05/2024,General,Year1,16:00PM - 18:00PM
860,2,IEP,21258,11112,Reading Skills,15,LEC,UOS,51,101464,Dima Mahmoud Ahmad Ibrahim,07/05/2024,General,Year1,08:30AM - 10:30AM
915,4,EECE,20086,402410,Power System Analysis,11,LEC,UOS,19,10703,Amr Mohamed Elnady,07/05/2024,General,Year4,11:00AM - 13:00PM
943,11,MDCH,22304,1101412,Med. Chem. III B,72,LEC,MDM,76,10808,Abdel Nasser A. Elshorbagi,07/05/2024,General,Year4,11:00AM - 13:00PM
944,4,MECH,22368,408420,Thermal System Design,11,LEC,UOS,9,101341,Mohammed Kamil Mohammed Mohammed,07/05/2024,General,Year4,11:00AM - 13:00PM
957,1,JURF,20506,103338,Jur.of Justice&ways of Evidenc,1,LEC,MAM,13,101036,Hassan  Al Rifai,07/05/2024,General,Year3,13:30PM - 15:30PM
1013,15,COSC,21862,1501215,Data Structures,51,LEC,MAW,38,102146,Osman  Abul,07/05/2024,General,Year2,13:30PM - 15:30PM
1022,14,APHY,20834,1460231,Intro. to Remote Sensing,11,LEC,UOS,13,101956,Nezar Atalla Ahmad Hammouri,07/05/2024,General,Year2,13:30PM - 15:30PM
1026,6,PBLW,20944,602345,International Organizations,11,LEC,MAW,38,101812,Nouf Abdalla Mohamed Ali Aljasmi,07/05/2024,General,Year3,13:30PM - 15:30PM
1053,2,SOCI,20990,204461,Intro. to Demography,11,LEC,UOS,57,101791,Wafa Barhoumi EP Hamdi,07/05/2024,General,Year4,16:00PM - 18:00PM
1067,8,MASS,22334,806463,Appl. in Digital Media Design,11,LEB,UOS,22,102011,Ahmad Abdel Jabbar Mazhar,07/05/2024,General,Year4,16:00PM - 18:00PM
1070,15,COSC,24431,1501116,Programming I,11K,LEB,UOS,35,P-3114,Menen Kassim Mohammed,07/05/2024,General,Year1,16:00PM - 18:00PM
1073,4,CIVL,23864,401496,Pro. Practice in Civl&Env.Eng.,12,LEC,UOS,14,10975,Radhi Mohsen AL Zubaidi,07/05/2024,General,Year4,16:00PM - 18:00PM
1079,15,COSC,21835,1501116,Programming I,3,LEB,MAM,34,P-3114,Menen Kassim Mohammed,07/05/2024,General,Year1,16:00PM - 18:00PM
1086,5,ENVH,20967,506453,Building and Human Habitation,71,LEC,MDM,17,101660,Nadia Mehdi AL Hasani,07/05/2024,General,Year4,16:00PM - 18:00PM
1094,2,ENGL,20658,202109,Advanced Language Skills,11,LEC,UOS,9,101153,Samer Omar Jarbou,07/05/2024,General,Year1,08:30AM - 10:30AM
1124,5,CLNU,21211,507263,Food Microbiology,72L,LAB,MDM,21,10914,Reyad Rashid Obaid,07/05/2024,General,Year2,08:30AM - 10:30AM
1143,4,MECH,22340,408280,Princ. of Water Treat. Tech.,11,LEC,UOS,16,101951,Mohd  Sobri Bin Takriff,07/05/2024,General,Year2,08:30AM - 10:30AM
1170,3,BUSP,20669,302383,Business and Government,1,LEC,MAM,46,10234,Abu Elias  Sarker,07/05/2024,General,Year3,11:00AM - 13:00PM
1210,11,MDCH,22284,1101312,Med. Chem. II B,71,LEC,MDM,11,10808,Abdel Nasser A. Elshorbagi,07/05/2024,General,Year3,11:00AM - 13:00PM
1217,5,NURS,21921,503101,Health and Safety,71E,LEC,UOS,136,102175,Muna Mohammed Salem Al-Tamimi,07/05/2024,General,Year1,11:00AM - 13:00PM
1222,5,ENVH,20870,506262,Environmental Microbiology,71L,LAB,MDM,24,101876,Anthony Ifeanyin Okoh,07/05/2024,General,Year2,11:00AM - 13:00PM
1223,5,ENVH,20854,506262,Environmental Microbiology,71,LEC,MDM,24,101876,Anthony Ifeanyin Okoh,07/05/2024,General,Year2,11:00AM - 13:00PM
1235,4,IEMG,23843,405438,Lean Production Systems,11,LEC,UOS,7,101832,Zehra Canan Araci,07/05/2024,General,Year4,13:30PM - 15:30PM
1259,6,PBLW,22886,602151,General Penal Law(1),11,LEB,UOS,3,101887,Halima Khalid Nasir Saif Almidfa,07/05/2024,General,Year1,13:30PM - 15:30PM
1264,3,BUSP,22638,302367,Entrepreneurship,52,LEC,MAW,43,10764,Syed Awais Ahmed,07/05/2024,General,Year3,13:30PM - 15:30PM
1280,1,FREL,20571,104132,Sciences of Hadith,51,LEC,MAW,29,10498,Kassem Ali Saad,07/05/2024,General,Year1,16:00PM - 18:00PM
1283,15,BUIS,20431,1503230,Database Management,51,LEB,MAW,19,P-3113,Fanar F. H. Shwedeh,07/05/2024,General,Year2,16:00PM - 18:00PM
1286,5,MDI,23362,502264,Patient Care & Management(2),73L,LAB,MDM,7,101189,Leena Rajan David,07/05/2024,General,Year2,16:00PM - 18:00PM
1329,15,COSC,21830,1501113,Programming for Engineers,2,LEB,MAM,20,P-2877,Mohammad Rustom Alnasar,07/05/2024,General,Year1,16:00PM - 18:00PM
1330,4,ARCH,21945,404204,Surveying,12,LEB,UOS,19,101980,Samir Mohammed Osman Hassan Dirar,07/05/2024,General,Year2,16:00PM - 18:00PM
1331,15,COSC,21834,1501116,Programming I,2,LEB,MAM,33,P-3108,Muath Ibrahim Mohammad Jarrah,07/05/2024,General,Year1,16:00PM - 18:00PM
1333,15,COSC,21837,1501116,Programming I,5,LEB,MAM,35,102122,Karam Mohamed Goda Mohamed Sallam,07/05/2024,General,Year1,16:00PM - 18:00PM
1340,14,APHY,20858,1430472,Instrum.and Control,11,LEC,UOS,9,102114,Mahmoud Rabie Abdel-Hafez,07/05/2024,General,Year4,16:00PM - 18:00PM
1366,2,IEP,21228,11112,Reading Skills,14,LEC,UOS,49,30146,Nahed  Mowaket,07/05/2024,General,Year1,08:30AM - 10:30AM
1368,2,IEP,21261,11112,Reading Skills,17,LEC,UOS,35,10769,Asmaa Awad Ahmed,07/05/2024,General,Year1,08:30AM - 10:30AM
1369,2,IEP,21264,11112,Reading Skills,18,LEC,UOS,30,30146,Nahed  Mowaket,07/05/2024,General,Year1,08:30AM - 10:30AM
1379,2,IEP,21153,11112,Reading Skills,11,LEC,UOS,35,101464,Dima Mahmoud Ahmad Ibrahim,07/05/2024,General,Year1,08:30AM - 10:30AM
1381,5,CLNU,21209,507263,Food Microbiology,71,LEC,MDM,60,101515,Tareq (Mohammad Ibrahim) A.H. Osaili,07/05/2024,General,Year2,08:30AM - 10:30AM
1382,5,HSAD,21194,504260,Leadership & Mang. in H. Prof,72,LEC,MDM,17,101061,Syed Azizur Rahman,07/05/2024,General,Year2,08:30AM - 10:30AM
1402,4,NUCL,22309,407402,Reactor Safety Analysis,11,LEC,UOS,5,101338,Muhammad  Zubair,07/05/2024,General,Year4,08:30AM - 10:30AM
1404,4,IEMG,22410,405442,Safety for Engineers,11,LEC,UOS,33,101497,In Ju  Kim,07/05/2024,General,Year4,08:30AM - 10:30AM
1446,1,JURF,20520,103325,Jur. of Wills and Inheritance,51,LEC,MAW,15,101180,Dalila  Berraf,07/05/2024,General,Year3,11:00AM - 13:00PM
1447,1,JURF,20521,103325,Jur. of Wills and Inheritance,52,LEC,MAW,9,101180,Dalila  Berraf,07/05/2024,General,Year3,11:00AM - 13:00PM
1480,2,HISL,22431,203220,The Rashidun Caliphate,11,LEC,UOS,34,10710,Ameena Abdullah Al Khatri,07/05/2024,General,Year2,11:00AM - 13:00PM
1494,5,NURS,23749,503101,Health and Safety,72A,LEC,MDM,142,101893,Fatma Refaat Abdelfattah Ahmed Abdelbaky,07/05/2024,General,Year1,11:00AM - 13:00PM
1495,5,ENVH,20854,506262,Environmental Microbiology,71,LEC,MDM,24,101872,Ioannis  Savvaidis,07/05/2024,General,Year2,11:00AM - 13:00PM
1503,2,EDUC,20026,206212,Des. & Prod. Educ. Tool Chil.,51,LEC,MAW,41,101844,Ali Ahmad Ghaleb Al-Barakat,07/05/2024,General,Year2,13:30PM - 15:30PM
1504,4,EECE,20079,402310,Electromechanical Systems,11,LEC,UOS,31,101116,Ali Ahmed Adam Ismail,07/05/2024,General,Year3,13:30PM - 15:30PM
1554,5,MDI,21772,502265,Introduction to Radiology,71,LEC,MDM,45,101794,Huseyin Ozan Tekin,07/05/2024,General,Year2,13:30PM - 15:30PM
1560,3,ACCT,20873,301343,Accounting Information Systems,11,LEC,UOS,25,10940,Walaa W. Elkelish,07/05/2024,General,Year3,13:30PM - 15:30PM
1574,2,INRE,20377,205340,Diplomacy,11,LEC,UOS,55,101869,Kazi Fahmida Farzana,07/05/2024,General,Year3,16:00PM - 18:00PM
1610,15,COSC,24431,1501116,Programming I,11K,LEB,UOS,35,102063,Mo'ath Mazin Faleh Mheidat,07/05/2024,General,Year1,16:00PM - 18:00PM
1619,15,COSC,21832,1501113,Programming for Engineers,52,LEB,MAW,30,101511,Sohail  Abbas,07/05/2024,General,Year1,16:00PM - 18:00PM
1622,15,COSC,21835,1501116,Programming I,3,LEB,MAM,34,P-1542,Ammar  Kaziha,07/05/2024,General,Year1,16:00PM - 18:00PM
1624,15,COSC,21836,1501116,Programming I,4,LEB,MAM,32,P-1542,Ammar  Kaziha,07/05/2024,General,Year1,16:00PM - 18:00PM
1625,15,COSC,21837,1501116,Programming I,5,LEB,MAM,35,102076,Maged Abdelkhalek Elsayed Mohamed Elsheshtawy,07/05/2024,General,Year1,16:00PM - 18:00PM
1626,15,COSC,21839,1501116,Programming I,52,LEB,MAW,34,10918,Ahmed  Khedr,07/05/2024,General,Year1,16:00PM - 18:00PM
1627,15,COSC,21839,1501116,Programming I,52,LEB,MAW,34,102003,Sarah Abdelkarim Abouelfetouh Darwish,07/05/2024,General,Year1,16:00PM - 18:00PM
1645,15,BUIS,20607,1503431,Project Management,11,LEC,UOS,41,P-3113,Fanar F. H. Shwedeh,07/05/2024,General,Year4,08:30AM - 10:30AM
1653,3,BUSP,20694,302370,Consumer Behavior,11,LEC,UOS,48,101328,Narjes  Haj Salem,07/05/2024,General,Year3,08:30AM - 10:30AM
1654,14,MATH,20256,1440235,Mathematical Software,11,LEC,UOS,19,101630,Mostafa  Zahri,07/05/2024,General,Year2,08:30AM - 10:30AM
1666,2,IEP,21224,11112,Reading Skills,13,LEC,UOS,37,101157,Douglas James Rapley,07/05/2024,General,Year1,08:30AM - 10:30AM
1670,5,CLNU,21212,507263,Food Microbiology,73L,LAB,MDM,18,101515,Tareq (Mohammad Ibrahim) A.H. Osaili,07/05/2024,General,Year2,08:30AM - 10:30AM
1710,2,SOCI,23563,204223,Urban Sociology,11,LEC,UOS,83,102045,Nora  Guenifa,07/05/2024,General,Year2,08:30AM - 10:30AM
1731,2,ENGL,20660,202233,Morphology & Lexical Studies,11,LEC,UOS,16,101153,Samer Omar Jarbou,07/05/2024,General,Year2,11:00AM - 13:00PM
1743,14,BIOT,20436,1450455,Biotechnology in Medicine,11,LEC,UOS,47,P-3077,Enas Yasin Muhamed Al-Zubi,07/05/2024,General,Year4,11:00AM - 13:00PM
1759,4,EECE,21042,402348,Signals & Control Systems,12,LEC,UOS,42,101347,Sofiane  Khadraoui,07/05/2024,General,Year3,11:00AM - 13:00PM
1788,2,ARAB,23286,201362,Old Book in Lang or Literature,11,LEC,UOS,30,10161,Ben Issa Abdul Qader Bettaher,07/05/2024,General,Year3,11:00AM - 13:00PM
1790,5,ENVH,20870,506262,Environmental Microbiology,71L,LAB,MDM,24,101872,Ioannis  Savvaidis,07/05/2024,General,Year2,11:00AM - 13:00PM
1800,14,BIOT,20293,1450103,Ecology,12,LEC,UOS,25,10939,Aly Aly Mohamed El Kabalawy,07/05/2024,General,Year1,13:30PM - 15:30PM
1878,6,PRLW,21093,601315,Labor Law and Social Security,51,LEC,MAW,48,101395,Aouataf  Zerara,07/05/2024,General,Year3,16:00PM - 18:00PM
1885,5,MDI,21664,502264,Patient Care & Management(2),71,LEC,MDM,40,10783,Wiam Elshami Hassan,07/05/2024,General,Year2,16:00PM - 18:00PM
1906,15,COSC,22983,1501116,Programming I,55,LEB,MAW,34,10064,Ashraf Mohamed Elnagar,07/05/2024,General,Year1,16:00PM - 18:00PM
1910,15,COSC,21829,1501113,Programming for Engineers,1,LEB,MAM,11,102063,Mo'ath Mazin Faleh Mheidat,07/05/2024,General,Year1,16:00PM - 18:00PM
1914,15,COSC,21833,1501116,Programming I,01U,LEB,MAM,34,102061,Fatih  Kurugollu,07/05/2024,General,Year1,16:00PM - 18:00PM
1917,15,COSC,21838,1501116,Programming I,51,LEB,MAW,33,101918,Ayesha Muhammad Talha,07/05/2024,General,Year1,16:00PM - 18:00PM
1920,15,COSC,21840,1501116,Programming I,53,LEB,MAW,35,101918,Ayesha Muhammad Talha,07/05/2024,General,Year1,16:00PM - 18:00PM
1925,15,COSC,24462,1501116,Programming I,12,LEB,UOS,35,P-3115,Mubarak Hussein Himmat,07/05/2024,General,Year1,16:00PM - 18:00PM
1955,2,IEP,21218,11112,Reading Skills,12,LEC,UOS,35,10663,Amira Husein Traish,07/05/2024,General,Year1,08:30AM - 10:30AM
1958,15,COSC,23366,1501366,Software Engineering,12,LEC,UOS,40,101104,Manar  Abu Talib,07/05/2024,General,Year3,08:30AM - 10:30AM
