id,COL,DEPT,CRN,CRS_NO,TITLE,SECT,TYPE_,CAMP,ENROL,INSTR_ID,INSTRUCTOR,EXAM_DATE,COURSE_TYPE,COURSE_CLASS,time_slot
1407,2,HISL,22439,203319,Maghrib and Andalus Hist,11A,LEC,UOS,50,101594,Khireddine  Chatra,06/05/2024,General,Year3,08:30AM - 10:30AM
1419,14,BIOT,23825,1450421,Plant Biotechnology,15L,LAB,UOS,16,101165,Tasneem  Obaid,06/05/2024,General,Year4,08:30AM - 10:30AM
1453,14,MATH,20252,1440261,Diff. Equs for Engs,51,LEC,MAW,42,101615,Belkacem  Said Houari,06/05/2024,General,Year2,11:00AM - 13:00PM
1455,14,MATH,20229,1440261,Diff. Equs for Engs,2,LEC,MAM,20,101615,Belkacem  Said Houari,06/05/2024,General,Year2,11:00AM - 13:00PM
1500,1,JURF,20472,103224,Islamic Criminal Law,1,LEC,MAM,7,10471,Mohamed Suliman Suliman,06/05/2024,General,Year2,13:30PM - 15:30PM
1506,14,MATH,20277,1440281,Intro Probability & Statistics,1,LEC,MAM,24,102073,Tahir  Abbas,06/05/2024,General,Year2,13:30PM - 15:30PM
1522,3,BUSP,23858,302461,Research Methods,13,LEC,UOS,21,102066,Mehmood  Khan,06/05/2024,General,Year4,13:30PM - 15:30PM
1546,6,PBLW,23287,602353,Private Penal Law (1),11,LEC,MAM,28,101887,Halima Khalid Nasir Saif Almidfa,06/05/2024,General,Year3,13:30PM - 15:30PM
1556,3,BUSP,24007,302461,Research Methods,1,LEC,MAM,14,102132,Usha  Ramanathan,06/05/2024,General,Year4,13:30PM - 15:30PM
1559,6,PBLW,20822,602255,Penal Law-Offenses Agst Money,1,LEC,MAM,41,101376,Manal Marwan Monajjed,06/05/2024,General,Year2,13:30PM - 15:30PM
1595,2,ARAB,21672,201212,Syntax & Morphology Studies 2,51,LEC,MAW,7,101957,Saif Al-Dien Taha Salim Alfuqara,06/05/2024,General,Year2,16:00PM - 18:00PM
1628,15,COSC,21968,1501372,Formal Lang.and Automa. theory,51,LEC,MAW,36,10918,Ahmed  Khedr,06/05/2024,General,Year3,16:00PM - 18:00PM
1637,6,PBLW,20948,602347,Public Finance,1,LEC,MAM,26,101981,Mona Mahmoud Idelbi,06/05/2024,General,Year3,16:00PM - 18:00PM
1638,14,APHY,20742,1430106,Remedial Physics,11H,LEC,UOS,51,101671,Hamdan Ali Hamdan,06/05/2024,General,Year1,16:00PM - 18:00PM
1639,4,EECE,20774,402240,Signals and Systems,12,LEC,UOS,28,10167,Ismail M.A. Shahin,06/05/2024,General,Year2,16:00PM - 18:00PM
